timestamp,pm1,pm2.5,pm4,pm10,co2,tvoc
2023-12-25 14:45:00,2.432,3.103333333333333,3.72,3.782,426.564,1.0271320000000002
2023-12-25 15:00:00,2.6879999999999997,2.8499999999999996,3.534,3.72,430.1,1.0264213333333334
2023-12-25 15:15:00,2.432,2.9766666666666666,3.595999999999999,3.782,429.488,1.0269679999999999
2023-12-25 15:30:00,2.624,2.9766666666666666,3.595999999999999,3.72,428.8759999999999,1.0270226666666666
2023-12-25 15:45:00,2.6879999999999997,3.04,3.534,3.658,427.17600000000004,1.0258746666666663
2023-12-25 16:00:00,2.752,3.103333333333333,3.534,3.72,429.96400000000006,1.024508
2023-12-25 16:15:00,2.88,3.3566666666666665,3.72,3.782,429.692,1.0211186666666667
2023-12-25 16:30:00,2.88,3.23,3.72,3.8440000000000007,429.216,1.0136839999999998
2023-12-25 16:45:00,2.752,3.42,3.72,3.72,435.26800000000003,1.0071240000000001
2023-12-25 17:00:00,2.752,3.04,3.472,3.72,433.02400000000006,1.00286
2023-12-25 17:15:00,2.88,2.9766666666666666,3.3480000000000003,3.658,429.352,0.9957533333333333
2023-12-25 17:30:00,2.88,3.2933333333333334,3.72,3.72,425.27199999999993,0.99138
2023-12-25 17:45:00,2.752,3.23,3.595999999999999,3.72,425.884,0.9850933333333333
2023-12-25 18:00:00,2.816,3.42,3.658,3.72,424.932,0.9848746666666665
2023-12-25 18:15:00,2.816,3.23,3.658,3.658,425.204,0.9865693333333333
2023-12-25 18:30:00,2.816,2.9133333333333336,3.162,3.658,424.32,0.9754173333333331
2023-12-25 18:45:00,2.2399999999999998,2.8499999999999996,2.8520000000000003,3.162,425.0,0.9686933333333331
2023-12-25 19:00:00,1.9840000000000002,2.8499999999999996,2.79,2.8520000000000003,421.532,0.9630080000000001
2023-12-25 19:15:00,1.9840000000000002,2.786666666666666,2.79,3.224,427.85599999999994,0.9595639999999999
2023-12-25 19:30:00,1.92,2.5966666666666667,2.79,2.79,427.992,0.9573226666666668
2023-12-25 19:45:00,1.92,2.09,2.356,2.6660000000000004,425.408,0.9550266666666664
2023-12-25 20:00:00,1.92,1.9,1.86,1.984,425.8159999999999,0.9586346666666666
2023-12-25 20:15:00,1.92,1.9,1.984,1.984,427.448,0.9586893333333333
2023-12-25 20:30:00,1.92,1.9,1.9220000000000004,1.9220000000000004,425.34000000000003,0.9586346666666666
2023-12-25 20:45:00,1.92,1.9,1.9220000000000004,1.9220000000000004,425.748,0.9603839999999999
2023-12-25 21:00:00,1.92,1.9,1.86,1.86,428.40000000000003,0.9607119999999999
2023-12-25 21:15:00,1.92,1.9,1.86,1.86,431.052,0.9621333333333331
2023-12-25 21:30:00,1.8559999999999994,1.9,1.86,1.86,428.264,0.9621879999999999
2023-12-25 21:45:00,1.92,1.9,1.86,1.86,424.456,0.9610946666666665
2023-12-25 22:00:00,1.8559999999999994,1.9,1.86,1.86,414.188,0.9608760000000001
2023-12-25 22:15:00,1.8559999999999994,1.9,1.86,1.86,407.116,0.9614773333333334
2023-12-25 22:30:00,1.792,1.9,1.86,1.86,411.80800000000005,0.9591813333333332
